AFS,Gender,MS,Origin,POB,LocLang,IntLang,BornWar,Religion,SecondarySchool,NationalExamGrade,Degree,Specialisation,GradeIT,UniversityType,InstitutionNature,InstitutionLocation,SchoolWar,Fees,Funding,UniversityReliable,UnivPromoteEmploy,Internship,ExperienceYears,SpecialisationCompetence,ITCompetence,GraduateComSkill,PhysicalDisability,PsychoDisability,SleepingTime,Family,Father,Mother,PoliticianFam,AdminstrativeFam,CompanyFam,Relatives,MaritalRequirement,HomePandemic,HomeEpidemic,SchoolPandemic,SchoolEpidemic,Employed
between 23 and 25 years,Male,Single,Muswahili,Village,Three,One,Yes,Protestant,Industrial Technique,Satisfaction (50%-69%),Bachelor,Computer Engineering,Satisfaction (50%-69%),Public,University,Town,Yes,Less than $500,Family Finances,Yes,No,Yes,11.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,No,Nothing,Yes,Yes,Yes,Yes,No
between 23 and 25 years,Male,Single,Muswahili,Town,Three,Two,Yes,Catholic,Social Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,University,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,6.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Poor,No,Yes,No,No,No,No,Nothing,Yes,Yes,No,Yes,No
between 23 and 25 years,Male,Single,Mukongo,Capital City(Kinshasa),One,Two,No,Protestant,Biochemistry,Satisfaction (50%-69%),Bachelor,Information Systems Management,Satisfaction (50%-69%),Public,University,Town,No,Less than $500,Family Finances,Yes,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,No,No,Married,Yes,Yes,Yes,Yes,No
between 27 and 29 years,Male,Single,Mukongo,Town,Three,Two,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Female,Single,Other,Town,Four,One,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,,11.0,Average,Average,Medium,No,No,Before 10 pm,Medium,No,No,No,Yes,Yes,Yes,Nothing,No,No,No,No,Yes
between 21 and 23 years,Male,Married,Muswahili,Town,Three,One,Yes,Catholic,General Pedagogy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,Yes,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Muswahili,Village,Two,One,Yes,Catholic,Industrial Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,University,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,No,No,Nothing,Yes,Yes,Yes,Yes,Yes
between 21 and 23 years,Male,Single,Muswahili,Town,Three,Two,Yes,Catholic,Industrial Technique,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Private,College,Town,Yes,Between $500 and $1000,Family Finances,No,Yes,Yes,1.0,Mastery,Average,Medium,No,No,Before 10 pm,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,No,No,No,No,No
between 25 and 27 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,One,Yes,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),Yes,Between $500 and $1000,Own funds,No,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,No,Nothing,No,No,No,No,No
between 23 and 25 years,Male,Single,Muswahili,Town,Two,Two,Yes,Catholic,IT Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,College,Town,No,Between $500 and $1000,Parents' finances,Yes,Yes,No,3.0,Average,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,No,Nothing,Yes,Yes,Yes,Yes,No
